Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ILMpUWsc2MrUhwKoQaKph,"I Went Too Far","All My Demons Greeting Me as a Friend","AURORA",2016-03-11,207853,44,false,,2026-08-07T21:34:40Z,"norwegian pop,art pop","Glassnote - VMG",0.509,0.541,7,-8.02,0,0.0412,0.0543,0.0000286,0.0941,0.0737,115.95,4
spotify:track:0K9n8TBThz4xNAkF1eIlB6,"Sweet Transvestite","The Rocky Horror Picture Show - Original Soundtrack","Tim Curry",1975-01-10,204370,59,false,,2026-08-03T06:46:44Z,"musicals","Ode Sounds & Visuals",0.543,0.422,4,-12.243,1,0.383,0.592,0,0.246,0.527,107.146,4
spotify:track:4Tjs8b6jL1s18sjURJtswp,"Lola (2020 Stereo Remaster)","Lola Versus Powerman and the Moneygoround, Pt. 1","The Kinks",1970-11-27,241991,74,false,,2026-08-03T06:45:56Z,"proto-punk,baroque pop","Sanctuary Records",0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,4
spotify:track:04EOMuLS3CvBTJeWPXkAOC,"Lola (2014 Remaster)","Lola Versus Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)","The Kinks",2014-10-20,242026,36,false,,2026-08-03T06:45:41Z,"proto-punk,baroque pop","Sanctuary Records",0.468,0.839,9,-7.406,1,0.0361,0.449,0.481,0.147,0.934,151.827,4
spotify:track:45jQiPlhDk0jk5Zraxn6CJ,"China-X","China-X","YUAN",2015-12-13,226012,26,false,,2026-08-02T04:47:45Z,"chinese r&b,gufeng,chinese hip hop,c-pop","Mai Music",0.843,0.829,1,-7.857,1,0.0396,0.617,0.982,0.104,0.45,119.994,4
spotify:track:0GfqEfxhVOvAZ0UwUpCjts,"Sheets to the Wind","Sheets to the Wind","Feeferella",2026-07-14,218181,45,false,,2026-07-29T04:19:49Z,"","Orange Kitty Productions",0.677,0.453,6,-8.625,0,0.0307,0.81,0.0000575,0.101,0.471,121.019,4
spotify:track:4CYGX2s2iEHtKA86LAmSj2,"I Know You’re The Moon","Planet You Forgot Me","Leyla Ebrahimi",2026-06-05,203600,47,false,,2026-07-29T04:15:33Z,"","Deerfield Records/Interscope Records",0.369,0.466,2,-7.733,1,0.0382,0.0204,0,0.109,0.256,85.008,4
spotify:track:57dsdeedkarDIVo3M7TJ86,"Sirens in LA","High Valley Demos","Fey Fili",2026-06-05,183016,44,true,,2026-07-29T04:08:36Z,"","Max Kang LLC",0.446,0.392,8,-7.846,0,0.0274,0.864,0.00031,0.104,0.669,99.919,4
spotify:track:2LEP2d1w4405whwBUjuVzE,"June","July","flipturn;Briston Maroney",2026-07-17,253753,61,false,,2026-07-29T03:59:58Z,"","Many Hats Distribution",0.441,0.467,9,-7.941,1,0.0821,0.208,0.0000148,0.132,0.0745,167.738,4
spotify:track:30Wb4wrx78MZ8lAXfVb7wk,"Notting Hill","Loveland","Suki Waterhouse",2026-07-10,190213,71,false,,2026-07-29T03:44:36Z,"","Suki Waterhouse PS/ Island",0.385,0.567,0,-5.785,1,0.0283,0.228,0,0.126,0.382,150.336,4
spotify:track:3PpTiirc8IzcjqEwDyaBZK,"Chemical Light","Greetings From Bleak St.","Josie Edwards",2026-07-24,226041,71,false,,2026-07-28T07:43:11Z,"","Josie Edwards",0.636,0.495,2,-8.154,1,0.0603,0.574,0.00341,0.0759,0.402,141.719,4
spotify:track:6hsJk3xqDGDHb9brnKysNw,"Leader Of The Landslide","III","The Lumineers",2019-09-13,354840,55,true,,2026-07-28T05:14:06Z,"folk pop,indie folk","Dualtone Music Group",0.355,0.437,1,-8.822,1,0.0513,0.804,0.0000164,0.283,0.118,64.222,3
spotify:track:5ubvP9oKmxLUVq506fgLhk,"Stayin Alive","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,285373,77,false,,2026-07-27T06:40:23Z,"disco","UME - Global Clearing House",0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,4
spotify:track:3siwsiaEoU4Kuuc9WKMUy5,"No One Noticed","Submarine","The Marías",2024-05-31,236906,90,false,,2026-07-27T03:08:08Z,"bedroom pop","Nice Life/Atlantic",0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4
spotify:track:5WnxvPtkEJ31yXF8ZPwQr2,"eat the pavement","eat the pavement","Dev Lemons",2026-06-26,224950,64,false,,2026-07-22T19:06:15Z,"hyperpop,bedroom pop","Dev Lemons",0.62,0.756,10,-7.384,1,0.043,0.016,0.0000106,0.178,0.497,89.349,4
spotify:track:2319gHincsCeSmc19Efi2j,"Forever","Days Are Gone","HAIM",2013-09-30,245809,46,false,,2026-07-13T01:41:00Z,"","Columbia",0.773,0.867,0,-4.595,1,0.0603,0.145,0.000333,0.105,0.592,117.984,4
